newsentences,sentiment,huliu sentiment label,sentiment,jokers sentiment label,sentiment,nrc sentiment label,sentiment,sentiwoord sentiment label,R sentiment,all,huliu sentiment label,jokers sentiment label,nrc sentiment label,sentiwoord sentiment label,R sentiment
Even bookings earlier showing disappeared ,0,Neutral,-0.268328157,Nagative,0,Neutral,-0.00931695,Nagative,Neutral,,,,,,
What an idiotic app ,-0.5,Nagative,-0.5,Nagative,-0.5,Nagative,0.3125,Positive,Negative,,,,,,
"So, Worth giving 1 star",0.5,Positive,0.8,Positive,1.5,Positive,0.125,Positive,Neutral,,,,,,
this mobile app is atrocious How the hell did it pass scrutiny?,-0.577350269,Nagative,-0.548482756,Nagative,-0.866025404,Nagative,-0.324759526,Nagative,Sarcasm,Y,,,,,
t's just a waste of time and phone memory installing and using this app,-0.267261242,Nagative,-0.200445931,Nagative,-0.267261242,Nagative,0.202116314,Positive,Negative,,,,,,
I am very irritated,-0.9,Nagative,-0.45,Nagative,0,Neutral,0,Neutral,Very Negative,,,,,,
Practically not usable,-0.577350269,Nagative,-0.346410162,Nagative,0,Neutral,0,Neutral,Neutral,,,,,,
Not working well,0,Neutral,-0.606217783,Nagative,-0.577350269,Nagative,-0.421812107,Nagative,Neutral,,,,,,
it sucks,-0.707106781,Nagative,-0.353553391,Nagative,0,Neutral,0,Neutral,Negative,,,,,,
terrible,-1,Nagative,-0.75,Nagative,-1,Nagative,-0.625,Nagative,Negative,Y,,,,,
what the hell,-0.577350269,Nagative,-0.461880215,Nagative,-0.577350269,Nagative,-0.312731396,Nagative,Negative,Y,,,,,
pathetic,-1,Nagative,-0.75,Nagative,-1,Nagative,-0.75,Nagative,Negative,Y,,,,,
hate it,-0.707106781,Nagative,-0.530330086,Nagative,-0.707106781,Nagative,-0.176776695,Nagative,Negative,Y,,,,,
horrible service,-0.707106781,Nagative,-0.530330086,Nagative,-0.707106781,Nagative,-0.441941738,Nagative,Negative,Y,,,,,
many issue ,-0.707106781,Nagative,0,Neutral,0,Neutral,0,Neutral,Negative,,,,,,
login has issues,-0.577350269,Nagative,0,Neutral,0,Neutral,0,Neutral,Negative,,,,,,
trouble logging in ,-0.577350269,Nagative,-0.288675135,Nagative,0,Neutral,-0.187638837,Nagative,Negative,,,,,,
cheaters,0,Neutral,-0.5,Nagative,0,Neutral,0,Neutral,Neutral,,,,,,
minus ratings,0,Neutral,0,Neutral,0,Neutral,-0.618718434,Nagative,Neutral,,,,,,
fix this problem ,-0.577350269,Nagative,-0.433012702,Nagative,-0.577350269,Nagative,-0.523223681,Nagative,Negative,Y,,,,,
Wish I could give it negative rating of -10,-0.353553391,Nagative,0.01767767,Positive,-0.707106781,Nagative,0.095754043,Positive,Negative,,,,,,
what a joke ,-0.577350269,Nagative,0.346410162,Positive,-0.577350269,Nagative,0.245373864,Positive,Negative,,,,,,
rediculous service,0,Neutral,0,Neutral,0,Neutral,0,Neutral,Neutral,,,,,,
"Used to be good, use BA all the time, but cannot pick seats, cannot upgrade as all end in a blank white screen Are they trying to lose money and customers?",-0.445421149,Nagative,0.625026451,Positive,0,Neutral,-0.181805467,Nagative,Sarcasm,,,,,,
Does the job,0,Neutral,0,Neutral,0.577350269,Positive,-0.126295371,Nagative,Neutral,,,,,,
Does what you want,0,Neutral,0,Neutral,0,Neutral,0.0625,Positive,Neutral,Y,,,,,
totally ineffective,-1.272792206,Nagative,-1.272792206,Nagative,-1.272792206,Nagative,0,Neutral,Negative,,,,,,
 BAjet is racing to the bottom !,0,Neutral,0,Neutral,-0.40824829,Nagative,-0.051031036,Nagative,Negative,,,,,,
Used to work perfectly,1,Positive,0.375,Positive,0,Neutral,0.046875,Positive,Neutral,,,,,,
without perfection,0.707106781,Positive,0.353553391,Positive,0.707106781,Positive,-0.353553391,Nagative,Neutral,,,,,,
idiotic app ,-0.707106781,Nagative,-0.707106781,Nagative,-0.707106781,Nagative,0.441941738,Positive,Negative,,,,,,
shameful for the company ,-0.5,Nagative,-0.5,Nagative,-0.5,Nagative,0,Neutral,Negative,,,,,,
hey cancelled my booking without any information & they refunded my money after deducting insurance,0.267261242,Positive,0.267261242,Positive,0.534522484,Positive,0,Neutral,Neutral,,,,,,
I will never choose go air again,0,Neutral,0,Neutral,0,Neutral,0.047245559,Positive,Neutral,,,,,,
Complete wastage of time,0,Neutral,0,Neutral,0,Neutral,0.375,Positive,Neutral,,,,,,
Look like fake app,0,Neutral,-0.125,Nagative,-0.5,Nagative,-0.104166667,Nagative,Neutral,,,,,,
Really money minded people,0,Neutral,0.54,Positive,0.9,Positive,0,Neutral,Neutral,,,,,,
he app looks like hacked together by a couple of students using assets drawn in Paint,0.25,Positive,0.1,Positive,0.25,Positive,-0.21875,Nagative,Positive,,,,,,
It allows me to get cheap airline tickets,-0.353553391,Nagative,-0.176776695,Nagative,-0.353553391,Nagative,-0.247487373,Nagative,Negative,,,,,,
 Not at all helpful for users,-0.40824829,Nagative,-0.306186218,Nagative,-0.40824829,Nagative,-0.153093109,Nagative,Neutral,,,,,,
 You people have made a joke of your application ,-0.333333333,Nagative,0.2,Positive,-0.333333333,Nagative,0.141666667,Positive,Negative,,,,,,
still no luck ,-0.577350269,Nagative,-0.433012702,Nagative,-0.577350269,Nagative,0.061858957,Positive,Neutral,,,,,,
" It is strongly recommended to not book through go air as god knows when your flight will be non operational, denied boarding etc",-0.417028828,Nagative,-0.385751666,Nagative,-0.208514414,Nagative,-0.182450112,Nagative,Neutral,,,,,,
Don't book early in goair flight because they can cancel the flight at any time without any reason,0,Neutral,-0.035355339,Nagative,0,Neutral,0.11785113,Positive,Neutral,,,,,,
Go Air must explain/apologise/compensate for such fraudulent and unethical business practice,-0.603022689,Nagative,-0.256284643,Nagative,0,Neutral,0,Neutral,Very Negative,,,,,,
wake up guys ,0,Neutral,0,Neutral,0,Neutral,0.216506351,Positive,Neutral,,,,,,
 The ground staff thinks that we are fool,-0.353553391,Nagative,-0.265165043,Nagative,-0.353553391,Nagative,0.110485435,Positive,Negative,,,,,,
Rating in negative,-0.577350269,Nagative,-0.433012702,Nagative,-1.154700538,Nagative,-0.216506351,Nagative,Negative,Y,,,,,
Mobile app is classic,0.5,Positive,0.25,Positive,0.5,Positive,0.4375,Positive,Positive,Y,,,,,
dont deserve any rating,0,Neutral,0.125,Positive,0,Neutral,0.0625,Positive,Positive,,,,,,
would rate 0,0,Neutral,0,Neutral,0,Neutral,-0.088388348,Nagative,Neutral,,,,,,
This app is too good without errors,-1.133893419,Nagative,0,Neutral,0.377964473,Positive,0.129925288,Positive,Neutral,,,,,,
 Or success has gone into your head,0.377964473,Positive,0.283473355,Positive,0.377964473,Positive,-0.393712993,Nagative,Positive,,,,,,
I wish I could give one star,-0.755928946,Nagative,0.529150262,Positive,0.377964473,Positive,0.244102055,Positive,Neutral,,,,,,
app is broken,-0.577350269,Nagative,-0.433012702,Nagative,-0.577350269,Nagative,-0.036084392,Nagative,Negative,Y,,,,,
The app is neat and works fine,1.133893419,Positive,0.491353815,Positive,0,Neutral,0.299221874,Positive,Very Positive,Y,,,,,
"The airline is great, but the app developer is awful",-0.468017094,Nagative,-0.626130977,Nagative,-0.78424486,Nagative,-0.147045911,Nagative,Neutral,,,,,,
Used to be very handy ,0.804984472,Positive,0.402492236,Positive,0.804984472,Positive,-0.100623059,Nagative,Very Positive,,,,,,










exceptions,,,,,,,,,,,,,,,
Used to be very handy ,0.804984472,Positive,0.402492236,Positive,0.804984472,Positive,-0.100623059,Nagative,Very Positive,,,,,,
